Region_Comercial,Subregion_Comercial,Locacion_Comercial,AGRUP_PIVO,CANAL,Marca,Tamano,EMPAQUE,Retornable,Agrup_Producto,SKU,MES,MES_CUOTA, AL_CUOTA ,AL_VENTA_2017,AL_VENTA_2018,AL_VENTA_2019,YEAR_2018,YEAR_2019
REGION CENTRO ORIENTE,Sub. Oriente,73 SELVA ORIENTE IQUITOS,VTA AL PASO MAS OTROS,HORIZONTAL,BIMBO BREAK,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,BIMBO BREAK FAMILIAR 3 LTS NO RETORNABLE,ABRIL,29,29,210,245,99,1054,591
REGION CENTRO ORIENTE,Sub. Oriente,73 SELVA ORIENTE IQUITOS,VERTICAL,VERTICAL,BIMBO BREAK,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,BIMBO BREAK FAMILIAR 3 LTS NO RETORNABLE,ABRIL,794,794,475,593,340,2179,1412
REGION CENTRO ORIENTE,Sub. Oriente,73 SELVA ORIENTE IQUITOS,TRADICIONAL,HORIZONTAL,BIMBO BREAK,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,BIMBO BREAK FAMILIAR 3 LTS NO RETORNABLE,ABRIL,2984,2984,3456,3444,2296,16467,9294
REGION CENTRO ORIENTE,Sub. Oriente,73 SELVA ORIENTE IQUITOS,COMER Y BEBER,HORIZONTAL,BIMBO BREAK,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,BIMBO BREAK FAMILIAR 3 LTS NO RETORNABLE,ABRIL,124,124,36,18,21,126,92
REGION CENTRO ORIENTE,Sub. Oriente,21 PLANTA IQUITOS May. Directo,VERTICAL,VERTICAL,BIMBO BREAK,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,BIMBO BREAK FAMILIAR 3 LTS NO RETORNABLE,ABRIL,419,419,181,3,159,250,689
REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,VTA AL PASO MAS OTROS,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,296,335,139,297,321,1332,1482
REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,386,386,194,286,474,1528,2108
REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,TRADICIONAL,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,1398,1352,690,1286,1484,5536,6719
REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,COMER Y BEBER,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,85,92,65,92,86,548,465
REGION SUR,Sub. Tacna,70 LOS PIEROS ILO,VTA AL PASO MAS OTROS,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,94,90,75,78,100,346,399
