Zona,Region_Comercial,Subregion_Comercial,Locacion_Comercial,AGRUP_PIVO,CANAL,Marca,Tamano,EMPAQUE,Retornable,Agrup_Producto,SKU,MES,MES_CUOTA, AL_CUOTA ,AL_VENTA_2017,AL_VENTA_2018,AL_VENTA_2019,YEAR_2018,YEAR_2019
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,VTA AL PASO + OTROS,HORIZONTAL,SCHWEPPES,FAMILIAR,1.5 LTS.,NO RETORNABLE,GASEOSAS,SCHWEPPES FAMILIAR 1.5 LTS. NO RETORNABLE,ABRIL,8.94,14.66,4.7553,4.7553,4.7553,31.702,39.6275
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,VTA AL PASO + OTROS,HORIZONTAL,MIXTOS,FAMILIAR,2.25 LTS,NO RETORNABLE,GASEOSAS,MIXTOS FAMILIAR 2.25 LTS NO RETORNABLE,ABRIL,,,,,,97.4815,4.7552
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,VTA AL PASO + OTROS,HORIZONTAL,INCA-KOLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,INCA-KOLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,871.86,901.55,919.3291,977.9759,564.8075,4652.651,3473.3858
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,VTA AL PASO + OTROS,HORIZONTAL,INCA-KOLA,FAMILIAR,2.25 LTS,NO RETORNABLE,GASEOSAS,INCA-KOLA FAMILIAR 2.25 LTS NO RETORNABLE,ABRIL,3958.297,4251.949,4880.8165,4537.6493,4745.69,21175.3015,18569.4507
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,VTA AL PASO + OTROS,HORIZONTAL,INCA-KOLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,INCA-KOLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,318.935,356.615,125.2182,333.2112,327.2225,1632.0686,1470.0373
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,VTA AL PASO + OTROS,HORIZONTAL,INCA-KOLA,FAMILIAR,1.5 LTS.,NO RETORNABLE,GASEOSAS,INCA-KOLA FAMILIAR 1.5 LTS. NO RETORNABLE,ABRIL,31.519,32.174,114.9193,45.1753,29.3239,302.7537,150.319
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,VTA AL PASO + OTROS,HORIZONTAL,FANTA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,FANTA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,238.075,131.361,224.0205,298.5178,243.041,1231.056,1153.3883
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,VTA AL PASO + OTROS,HORIZONTAL,FANTA,FAMILIAR,2.25 LTS,NO RETORNABLE,GASEOSAS,FANTA FAMILIAR 2.25 LTS NO RETORNABLE,ABRIL,410.393,441.454,561.5099,801.6475,396.6632,3161.0193,1955.9725
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,VTA AL PASO + OTROS,HORIZONTAL,CRUSH,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,CRUSH FAMILIAR 3 LTS NO RETORNABLE,ABRIL,100.442,108.648,189.1496,83.4793,60.7603,369.3168,218.737
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,VTA AL PASO + OTROS,HORIZONTAL,COCA-COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA-COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,660.826,732.315,839.5482,790.4116,483.4405,3658.8244,2806.0676
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,VTA AL PASO + OTROS,HORIZONTAL,COCA-COLA,FAMILIAR,2.25 LTS,NO RETORNABLE,GASEOSAS,COCA-COLA FAMILIAR 2.25 LTS NO RETORNABLE,ABRIL,3030.674,3298.659,3976.1398,3416.2152,4072.8307,15806.6817,15310.557
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,VTA AL PASO + OTROS,HORIZONTAL,COCA-COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA-COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,296.306,334.542,138.603,297.2831,320.5299,1332.3175,1482.189
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,VTA AL PASO + OTROS,HORIZONTAL,COCA-COLA,FAMILIAR,1.5 LTS.,NO RETORNABLE,GASEOSAS,COCA-COLA FAMILIAR 1.5 LTS. NO RETORNABLE,ABRIL,26.252,27.785,70.8008,31.7019,24.5686,210.8179,115.7109
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,VERTICAL,VERTICAL,SCHWEPPES,FAMILIAR,1.5 LTS.,NO RETORNABLE,GASEOSAS,SCHWEPPES FAMILIAR 1.5 LTS. NO RETORNABLE,ABRIL,19.713,19.715,,3.1702,,3.1702,61.8189
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,VERTICAL,VERTICAL,MIXTOS,FAMILIAR,2.25 LTS,NO RETORNABLE,GASEOSAS,MIXTOS FAMILIAR 2.25 LTS NO RETORNABLE,ABRIL,,,,,,7.1328,
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,VERTICAL,VERTICAL,INCA-KOLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,INCA-KOLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,903.492,903.496,940.9914,1430.7718,1137.0193,5076.3868,4479.9202
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,VERTICAL,VERTICAL,INCA-KOLA,FAMILIAR,2.25 LTS,NO RETORNABLE,GASEOSAS,INCA-KOLA FAMILIAR 2.25 LTS NO RETORNABLE,ABRIL,8570.742,8570.749,8039.85443,8558.964,10713.0692,46083.4359,48828.7709
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,VERTICAL,VERTICAL,INCA-KOLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,INCA-KOLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,365.218,365.223,194.4328,400.4893,445.9274,1847.1116,2222.2401
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,VERTICAL,VERTICAL,INCA-KOLA,FAMILIAR,1.5 LTS.,NO RETORNABLE,GASEOSAS,INCA-KOLA FAMILIAR 1.5 LTS. NO RETORNABLE,ABRIL,3.271,3.27,39.0991,7.9255,3.1702,120.4675,20.6063
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,VERTICAL,VERTICAL,FANTA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,FANTA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,168.116,168.113,331.8038,367.7316,109.8968,1600.9005,854.8703
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,VERTICAL,VERTICAL,FANTA,FAMILIAR,2.25 LTS,NO RETORNABLE,GASEOSAS,FANTA FAMILIAR 2.25 LTS NO RETORNABLE,ABRIL,478.78,478.778,368.528,771.5312,439.856,3793.8571,2139.84
